District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Suryapet,2020-06,3082.4,27.0072463768116,36.5950724637681,50.3873913043478,87.3528985507246,9.77994186046512,0.180377906976744
Suryapet,2020-07,5160,25.3974754558205,33.7188405797101,68.3448574100047,95.9475923328658,7.41709039548023,0.169350282485876
Suryapet,2020-08,5127.8,25.1906264609631,31.477840112202,75.4652641421225,95.3804815334268,7.30294550810015,0.279086892488954
Suryapet,2020-09,5301.8,25.406231884058,33.471884057971,71.8465217391304,96.3133333333333,6.58885448916409,0.0791021671826625
Suryapet,2020-10,3128.3,24.0396914446003,32.8189340813464,67.5446002805049,96.2049088359046,0.0668358714043993,4.17834179357022
Suryapet,2020-11,340.5,20.9172463768116,32.1113043478261,54.0098550724638,93.6746376811594,0.0248106060606061,5.46155303030303
Suryapet,2020-12,0,18.0192145862553,31.6130434782609,45.7259467040673,95.3194950911641,0.00219560878243513,4.74770459081836
Suryapet,2021-01,0,19.8500701262272,32.04698457223,48.6856942496494,96.0600280504909,,
Suryapet,2021-02,1,18.9211180124224,32.875,41.7330745341615,95.7420807453416,,
Suryapet,2021-03,0,21.0330995792426,35.673492286115,36.1865357643759,92.80603085554,,
Suryapet,2021-04,115.8,24.5221739130435,38.3323188405797,33.5840579710145,87.5124637681159,0.0188405797101449,6.97942028985507
Suryapet,2021-05,875.8,26.7450508788159,38.4793709528215,24.0009250693802,55.6528214616096,0.0461609620721554,5.62414431082331
Suryapet,2021-06,3059,26.0178260869565,35.1223188405797,49.0389855072464,87.4324637681159,0.0659420289855072,7.89855072463768
Suryapet,2021-07,6239.9,25.1166900420757,32.6598877980365,65.9465638148668,93.7927068723703,0.0186535764375877,6.93225806451613
Suryapet,2021-08,3550.9,25.2994389901823,33.0594670406732,63.9840112201964,93.2610098176718,0.0238429172510519,6.94361851332398
Suryapet,2021-09,4300.3,24.7628985507246,32.2531884057971,73.4502898550725,97.6842028985507,0.00913043478260869,5.36724637681159
Suryapet,2021-10,1245.3,23.7615708274895,33.4840112201964,60.4018232819074,97.4575035063114,0.000561009817671809,3.95666199158485
Suryapet,2021-11,898.9,22.541884057971,31.561884057971,66.6711594202899,97.0972463768116,0,0
Suryapet,2021-12,51.3,18.6140252454418,31.2842917251052,47.9542776998598,96.228190743338,0.00182328190743338,3.78541374474053
Suryapet,2022-01,1254.8,18.9976157082749,30.1782608695652,53.9868162692847,95.698316970547,0.023422159887798,4.54712482468443
Suryapet,2022-02,0,11.2142857142857,36.7035714285714,13.3107142857143,100,0,64.8571428571429
Suryapet,2022-03,0.8,22.1207573632539,35.929873772791,39.7321178120617,95.3767180925666,0.0276297335203366,5.20224403927069
Suryapet,2022-04,3.9,25.18,38.1671014492754,38.2859420289855,94.1097101449275,0.061304347826087,5.90086956521739
Suryapet,2022-05,421.2,27.0262272089762,39.639270687237,34.1723702664797,81.9081346423562,0.229939209726444,9.12158054711246
Suryapet,2022-06,2405.6,27.0298550724638,38.0839130434783,38.8844927536232,81.8408695652174,0.102413273001508,9.0079939668175
Suryapet,2022-07,8204.9,24.6615708274895,32.0387096774194,67.0796633941094,96.5946704067321,0.113670133729569,7.93387815750372
Suryapet,2022-08,3913.4,25.1208976157083,33.2869565217391,64.0063113604488,95.7258064516129,0.162794117647059,8.76514705882353
Suryapet,2022-09,3248.1,24.5498550724638,33.2057971014493,66.1663768115942,97.5892753623188,0.0176829268292683,7.45335365853659
Vikarabad,2019-01,100.2,14.6363737486096,31.2639599555061,28.4410456062291,81.6491657397108,0.0623271889400922,8.17258064516129
Vikarabad,2019-02,1.8,19.0024630541872,34.0572660098522,25.9224137931034,71.9288177339901,0.139030612244898,10.3489795918367
Vikarabad,2019-03,5,22.1866518353726,36.9122358175751,19.7743047830923,59.6715239154616,0.136059907834101,10.4361751152074
Vikarabad,2019-04,383.6,24.9116091954023,39.1486206896552,18.5314942528736,56.1974712643678,0.0971428571428571,11.0460714285714
Vikarabad,2019-05,583.6,27.3013348164627,40.5739710789766,16.4964404894327,49.9216907675195,0.166935483870968,12.0486175115207
Vikarabad,2019-06,1695.6,24.9481481481481,36.007037037037,39.9805555555556,81.3777777777778,0.890185185185185,13.6085185185185
Vikarabad,2019-07,1734,23.1799283154122,31.2048387096774,61.7731182795699,93.5345878136201,1.05017921146953,13.3491039426523
Vikarabad,2019-08,3769.5,22.6512544802867,30.1129032258064,72.3388888888889,96.1582437275986,0.80573476702509,11.2311827956989
Vikarabad,2019-09,3003.5,22.3180076628352,29.9219667943806,74.8968071519796,96.9359514687101,0.301724137931034,8.26934865900383
Vikarabad,2019-10,2313.1,21.5180406212664,30.6677718040621,68.1662186379928,97.3573775388291,0.06415770609319,6.67777777777778
Vikarabad,2019-11,164.2,18.2561111111111,31.3312962962963,49.175,95.9757407407408,0.0307407407407407,6.04166666666667
Vikarabad,2019-12,25.7,16.4375448028674,29.5862007168459,46.9719314079422,95.3741039426523,0.0730696798493409,7.00188323917137
Vikarabad,2020-01,28.2,16.9069892473118,31.0516129032258,39.7039426523297,90.1519713261649,8.24793713163065,0
Vikarabad,2020-02,2.1,17.4879310344828,32.767816091954,30.6360153256705,82.0467432950192,9.05,0
Vikarabad,2020-03,27.2,21.4351254480287,35.9903225806452,27.3021505376344,75.6844086021505,8.41288566243194,0
Vikarabad,2020-04,468.1,23.265,37.932037037037,24.08,67.7174074074074,9.43705103969754,
Vikarabad,2020-05,576.7,25.9403225806452,39.2648745519713,25.4939068100358,69.2062724014337,10.0860550458716,
Vikarabad,2020-06,2903.3,24.0138888888889,33.5301851851852,55.6177777777778,91.7825925925926,10.0409867172676,0.367931688804554
Vikarabad,2020-07,5626.3,23.0648148148148,31.0847670250896,73.2144265232975,97.3600059737156,6.6344262295082,0.212750455373406
Vikarabad,2020-08,3948.9,22.8306750298686,29.2194145758662,81.7040621266428,98.0155913978495,6.95245901639344,0.392213114754098
Vikarabad,2020-09,4436.5,22.7583333333333,30.9211111111111,75.5351851851852,98.7368518518518,6.1174778761062,0.121902654867257
Vikarabad,2020-10,3655.4,21.2354838709677,31.2528673835125,63.7508960573477,97.6768817204301,0.0295555555555556,6.23533333333333
Vikarabad,2020-11,65.2,17.2388888888889,30.6509259259259,47.0692592592593,92.7314814814815,0.0421588594704684,7.59877800407332
Vikarabad,2020-12,0,14.2480286738351,30.644982078853,33.3822580645161,92.1448028673835,0.0170626349892009,5.99222462203024
Vikarabad,2021-01,57.5,16.5768817204301,31.5564516129032,38.1308243727599,93.0408602150538,,
Vikarabad,2021-02,0.9,15.4672619047619,32.2416666666667,24.743253968254,79.0474206349206,,
Vikarabad,2021-03,52.1,19.4186379928315,36.0672043010753,17.0489247311828,66.7179211469534,,
Vikarabad,2021-04,606.5,22.922962962963,37.3268518518518,22.3246296296296,67.4394444444445,0.0798148148148148,8.15407407407407
