location_aaq,location_lat,location_lon,location_aqi,Date,Benzene,CO,PM2.5,NH3,PM10,NOx,Toluene,Xylene,Ozone,SO2
Khairthabad RTA,17.405920000000037,78.45856000000003,Khairthabad RTA,2022-02-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,Komaplly,2022-02-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,Kokapet,2022-02-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,Sympony Park,2022-02-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,R C Puram,2022-02-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,BPPA,2022-02-01,1.880472871428571,0.516345957142857,42.142857142857146,11.669882678571424,121.0,44.55570607142856,,,28.857214400000004,5.400775392857143
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2022-02-01,,0.6499668535714287,57.85714285714285,,,31.77935785714286,,,10.258684999999998,3.5301395
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2022-02-01,4.004273607142857,0.940156007142857,71.57142857142857,4.0767215,167.67857142857142,35.71325214285714,,,16.54980785714286,3.5111554642857152
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2022-02-01,2.534192214285714,0.619006625,59.142857142857146,5.016035964285714,144.85714285714286,68.98114107142855,,,20.63098389285713,3.7491219642857145
Bollaram,18.168900000000065,78.08390000000009,Bollaram,2022-02-01,0.044887425,0.5571956964285715,,,,,,,18.641585,
ICRISAT,17.516590000000065,78.27499000000006,Sympony Park,2022-02-01,0.1296051453846154,0.3473076923076922,50.61538461538461,13.817671730769232,111.3076923076923,18.50807680769231,,,58.14999999999999,14.673076923076929
ECIL,17.42087514237781,78.54339414429708,"Nacharam, Police station ",2022-02-01,,,,,,,,,,
Nacharam,17.431250000000034,78.55922000000004,"Nacharam, Police station ",2022-02-01,,,,,,,,,,
Malakpet louis,18.10176000000007,79.71536000000003,"Mee-Seva, Warangal",2022-02-01,,,,,,,,,,
Khairthabad RTA,17.405920000000037,78.45856000000003,"Buddha Purnima Project office, Tank Bund",2022-02-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,"Jeedimetla, Industrial Association building",2022-02-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,"Jubilee Hills, Police station",2022-02-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,ICRISAT,2022-02-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,BPPA,2022-02-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,IITH ,2022-02-01,1.880472871428571,0.516345957142857,42.142857142857146,11.669882678571424,121.0,44.55570607142856,,,28.857214400000004,5.400775392857143
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2022-02-01,,0.6499668535714287,57.85714285714285,,,31.77935785714286,,,10.258684999999998,3.5301395
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2022-02-01,4.004273607142857,0.940156007142857,71.57142857142857,4.0767215,167.67857142857142,35.71325214285714,,,16.54980785714286,3.5111554642857152
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2022-02-01,2.534192214285714,0.619006625,59.142857142857146,5.016035964285714,144.85714285714286,68.98114107142855,,,20.63098389285713,3.7491219642857145
ICRISAT,17.516590000000065,78.27499000000006,Pashamylaram,2022-02-01,0.1296051453846154,0.3473076923076922,50.61538461538461,13.817671730769232,111.3076923076923,18.50807680769231,,,58.14999999999999,14.673076923076929
ECIL,17.42087514237781,78.54339414429708,Nacharam,2022-02-01,,,,,,,,,,
Nacharam,17.431250000000034,78.55922000000004,ECIL,2022-02-01,,,,,,,,,,
Malakpet louis,18.10176000000007,79.71536000000003,"Kuda, warangal",2022-02-01,,,,,,,,,,
Khairthabad RTA,17.405920000000037,78.45856000000003,Panjagutta,2022-02-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,Jeedimetla,2022-02-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,"KBRN Park, DFO office ",2022-02-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,Pashamylaram,2022-02-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,IITH ,2022-02-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,R C Puram,2022-03-01,2.4859234516129027,0.5525279258064516,45.096774193548384,8.878167709677419,126.3225806451613,43.46746000000002,,,20.93759523529412,5.134116129032259
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2022-03-01,,0.8365639483870966,64.35483870967742,,,30.20815577249576,,,13.828025129032255,4.119103322580645
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2022-03-01,5.477115419354839,1.101773848387097,79.66666666666667,4.466483387096774,175.90322580645162,34.307036129032255,,,17.392515161290323,3.6226891935483874
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2022-03-01,7.351315896451612,0.6011757500000001,59.96774193548387,4.351964483870968,146.48387096774192,59.87276645161291,,,20.63635741935483,4.551541387096775
Bollaram,18.168900000000065,78.08390000000009,Boallaram,2022-03-01,0.0517121938709677,0.7195786064516129,,,,,,,12.553260161290323,
ICRISAT,17.516590000000065,78.27499000000006,ICRISAT,2022-03-01,0.1567474577419355,0.3948387096774194,57.25806451612903,15.475094838709682,135.2258064516129,25.39049419354839,,,59.90967741935484,14.777419354838706
ECIL,17.42087514237781,78.54339414429708,ECIL,2022-03-01,,,,,,,,,,
Nacharam,17.431250000000034,78.55922000000004,Nacharam,2022-03-01,,,,,,,,,,
Malakpet louis,18.10176000000007,79.71536000000003,Malakpet louis,2022-03-01,,,,,,,,,,
Khairthabad RTA,17.405920000000037,78.45856000000003,Khairthabad RTA,2022-03-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,Komaplly,2022-03-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,Kokapet,2022-03-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,Sympony Park,2022-03-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,R C Puram,2022-03-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,BPPA,2022-03-01,2.4859234516129027,0.5525279258064516,45.096774193548384,8.878167709677419,126.3225806451613,43.46746000000002,,,20.93759523529412,5.134116129032259
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2022-03-01,,0.8365639483870966,64.35483870967742,,,30.20815577249576,,,13.828025129032255,4.119103322580645
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2022-03-01,5.477115419354839,1.101773848387097,79.66666666666667,4.466483387096774,175.90322580645162,34.307036129032255,,,17.392515161290323,3.6226891935483874
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2022-03-01,7.351315896451612,0.6011757500000001,59.96774193548387,4.351964483870968,146.48387096774192,59.87276645161291,,,20.63635741935483,4.551541387096775
Bollaram,18.168900000000065,78.08390000000009,Bollaram,2022-03-01,0.0517121938709677,0.7195786064516129,,,,,,,12.553260161290323,
ICRISAT,17.516590000000065,78.27499000000006,Sympony Park,2022-03-01,0.1567474577419355,0.3948387096774194,57.25806451612903,15.475094838709682,135.2258064516129,25.39049419354839,,,59.90967741935484,14.777419354838706
ECIL,17.42087514237781,78.54339414429708,"Nacharam, Police station ",2022-03-01,,,,,,,,,,
Nacharam,17.431250000000034,78.55922000000004,"Nacharam, Police station ",2022-03-01,,,,,,,,,,
Malakpet louis,18.10176000000007,79.71536000000003,"Mee-Seva, Warangal",2022-03-01,,,,,,,,,,
Khairthabad RTA,17.405920000000037,78.45856000000003,"Buddha Purnima Project office, Tank Bund",2022-03-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,"Jeedimetla, Industrial Association building",2022-03-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,"Jubilee Hills, Police station",2022-03-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,ICRISAT,2022-03-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,BPPA,2022-03-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,IITH ,2022-03-01,2.4859234516129027,0.5525279258064516,45.096774193548384,8.878167709677419,126.3225806451613,43.46746000000002,,,20.93759523529412,5.134116129032259
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2022-03-01,,0.8365639483870966,64.35483870967742,,,30.20815577249576,,,13.828025129032255,4.119103322580645
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2022-03-01,5.477115419354839,1.101773848387097,79.66666666666667,4.466483387096774,175.90322580645162,34.307036129032255,,,17.392515161290323,3.6226891935483874
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2022-03-01,7.351315896451612,0.6011757500000001,59.96774193548387,4.351964483870968,146.48387096774192,59.87276645161291,,,20.63635741935483,4.551541387096775
ICRISAT,17.516590000000065,78.27499000000006,Pashamylaram,2022-03-01,0.1567474577419355,0.3948387096774194,57.25806451612903,15.475094838709682,135.2258064516129,25.39049419354839,,,59.90967741935484,14.777419354838706
ECIL,17.42087514237781,78.54339414429708,Nacharam,2022-03-01,,,,,,,,,,
Nacharam,17.431250000000034,78.55922000000004,ECIL,2022-03-01,,,,,,,,,,
Malakpet louis,18.10176000000007,79.71536000000003,"Kuda, warangal",2022-03-01,,,,,,,,,,
Khairthabad RTA,17.405920000000037,78.45856000000003,Panjagutta,2022-03-01,,,,,,,,,,
Komaplly,17.549060000000054,78.48655000000008,Jeedimetla,2022-03-01,,,,,,,,,,
Kokapet,17.405860000000075,78.33022000000005,"KBRN Park, DFO office ",2022-03-01,,,,,,,,,,
Sympony Park,17.530569987152973,78.2881081586758,Pashamylaram,2022-03-01,,,,,,,,,,
IITH ,17.802515696000057,79.01075984700003,IITH ,2022-03-01,,,,,,,,,,
HCU,17.802515696000057,79.01075984700003,R C Puram,2022-04-01,1.8316176666666664,0.4696573666666665,33.724137931034484,8.785045366666669,102.1,55.59332533333333,,,19.59107966666667,3.7521837333333328
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2022-04-01,0.0267887263333333,0.7630066400000002,48.0,,,27.394503,,,15.748852,3.806046033333333
