location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
"KBRN Park, DFO office ",2016-03-01,24.0,,,,4.5,,,78.0,,
Punjagutta,2016-03-01,66.17,,0.22,0.0,,0.0,4.41,118.89,118.89,1.54
Sanathnagar,2016-03-01,48.3,61.0,10.1,1.1,6.3,1.2,76.6,,,0.76
HCU,2016-03-01,57.4,41.0,3.1,0.5,10.7,0.5,29.0,106.0,18.0,1.04
Zoopark,2016-03-01,55.81363636363635,59.354838709677416,7.839819096774192,1.652976158064516,5.4204034838709685,2.6286202967741925,44.33851387096774,131.61290322580646,10.351596451612904,0.9983929741935484
Pashamylaram,2016-03-01,55.01,43.6,1.7199534599999995,0.1358618043333333,10.5721085,1.012252030333333,56.19556966666666,105.16666666666669,18.4017927,0.7095270800000003
KUDA,2016-03-01,22.8,,,,6.7,,,68.0,22.0,
" Mee-Seva, Warangal ",2016-03-01,21.8,,,,7.1,,,,24.0,
Balasamudram,2016-03-01,,,,,,,,,,
Nakkalagutta,2016-03-01,,,,,,,,,,
Godavarikhani,2016-03-01,36.0,,,,8.96,,,76.0,25.0,
" DIC building, Karimnagar",2016-03-01,32.1,,,,7.7,,,,25.0,
"CER Club, Kothagudem",2016-03-01,20.7,,,,7.4,,,61.0,,
Jalasouda ,2016-03-01,20.7,,,,6.1,,,54.0,,
Kothur,2016-03-01,29.5,,,,7.5,,,71.0,28.0,
R.C.Puram,2016-03-01,27.0,,,,7.0,,,93.0,21.0,
Bollaram,2016-03-01,,,,,,,,,,
Sangareddy,2016-03-01,21.0,,,,5.0,,,75.0,,
PETL,2016-03-01,25.0,,,,14.0,,,97.0,,
Gaddapotharam,2016-03-01,27.0,,,,6.0,,,90.0,,
"Nalgonda RO, Building",2016-03-01,26.0,,,,6.0,,,59.0,21.9,
"Choutuppal, Nalgonda",2016-03-01,29.0,,,,7.0,,,74.0,26.3,
Subhasnagar/  Nizamabad,2016-03-01,,,,,,,,66.0,,
Adilabad/ Mandamarri,2016-03-01,,,,,,,,71.0,,
"Balanagar , CITD office ",2016-04-01,30.8,,,,4.7,,,136.0,82.0,
"Uppal, Modern food Industry, IDA",2016-04-01,26.9,,,,4.5,,,94.0,90.0,
"Jubilee Hills, Police station",2016-04-01,26.8,,,,4.5,,,113.0,85.0,
"Paradise, HMWS &SB Pump house ",2016-04-01,29.3,,,,4.6,,,141.0,75.0,
"Charminar, TSRTC bus station ",2016-04-01,33.0,,,,4.6,,,116.0,83.0,
"Jeedimetla, Industrial Association building",2016-04-01,26.1,,,,4.6,,,122.0,102.0,
"Buddha Purnima Project office, Tank Bund",2016-04-01,20.8,,,,4.5,,,,,
"MGBS, Bus stand ",2016-04-01,21.5,,,,4.6,,,95.0,,
"Chikkadapally, Lepakshi Emporium ",2016-04-01,18.5,,,,4.5,,,74.0,,
"Langar House, Police Station ",2016-04-01,22.4,,,,4.6,,,86.0,,
"Madhapur, Shilpa Kalavedika ",2016-04-01,19.1,,,,4.5,,,84.0,,
"Shameerpet, MRO office",2016-04-01,20.0,,,,4.5,,,78.0,,
"Kukatpally, JNTU",2016-04-01,25.2,,,,4.6,,,84.0,,
"Sainikpuri,  MRO office ",2016-04-01,16.9,,,,4.3,,,71.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-04-01,16.6,,,,,,,72.0,,
"Nacharam, Police station ",2016-04-01,23.5,,,,4.7,,,128.0,,
"Abids, Police station ",2016-04-01,26.2,,,,4.6,,,122.0,,
"KBRN Park, DFO office ",2016-04-01,17.2,,,,4.3,,,64.0,,
Punjagutta,2016-04-01,75.1570581942922,,21.597365065218007,2.325061220945705,,1.8758747321795064,3.773212206111645,114.16904781922167,114.16904781922167,1.8182543984582564
