location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
"Langar House, Police Station ",2020-04-01,9.8,,,,2.0,,,55.0,,
"Madhapur, Shilpa Kalavedika ",2020-04-01,12.3,,,,2.0,,,73.0,,
"Shameerpet, MRO office",2020-04-01,,,,,,,,,,
"Kukatpally, JNTU",2020-04-01,15.8,,,,2.0,,,56.0,10.0,
"Sainikpuri,  MRO office ",2020-04-01,,,,,,,,,,
"Rajendranaga, NG Rang Agricultural University ",2020-04-01,9.8,,,,,,,36.0,,
"Nacharam, Police station ",2020-04-01,,,,,,,,,,
"Abids, Police station ",2020-04-01,13.0,,,,2.0,,,57.0,,
"KBRN Park, DFO office ",2020-04-01,9.3,,,,2.0,,,56.0,,
HCU,2020-04-01,40.64001714285714,23.3,,2.5,4.266666666666668,,19.9,55.06666666666667,11.976003928571426,0.45
Sanathnagar,2020-04-01,12.7903495,31.75,,1.0,5.993333333333338,,44.2,,,0.45
Zoopark,2020-04-01,39.72671173913044,42.57142857142857,,0.5,3.1130434782608694,,21.9,77.8,14.305557782608687,0.51
Pashamylaram,2020-04-01,39.57291178571428,32.3,,3.1,6.949999999999999,,30.0,63.4,4.906338392857143,0.56
"Bollaram, CAAQMS",2020-04-01,17.927246333333336,27.4,,,7.65,,,57.2,22.822756,
ICRISAT,2020-04-01,9.334185033333336,28.1,,0.4,4.243333333333334,,23.8,59.2962962962963,11.336342366666669,0.46
"R.C.Puram, Medak",2020-04-01,15.8,,,,2.0,,,45.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-04-01,,,,,,,,,,
"Sangareddy, Medak",2020-04-01,14.8,,,,2.0,,,40.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-04-01,20.8,,,,6.0,,,62.0,,
"Gaddapotharam, Medak",2020-04-01,16.0,,,,2.0,,,51.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-04-01,15.1,,,,2.0,,,28.0,10.0,
"Choutuppal, Nalgonda",2020-04-01,15.4,,,,2.0,,,30.0,10.0,
"Subhasnagar,  Nizamabad",2020-04-01,,23.0,,,,,,,,
" Mandamarri, Adilabad",2020-04-01,15.8,,,,2.0,,,52.0,10.0,
"KUDA, Warangal ",2020-04-01,30.1,,,,6.8,,,15.7,,
" Mee-Seva, Warangal ",2020-04-01,38.0,,,,6.0,,,26.0,20.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-04-01,17.8,,,,5.1,,,21.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-04-01,,,,,,,,,,
"Godavarikhani, Karimnagar",2020-04-01,42.7,,,,7.2,,,74.0,10.0,
" DIC building, Karimnagar",2020-04-01,38.0,,,,7.0,,,33.0,20.0,
"CER Club, Kothagudem",2020-04-01,17.9,,,,6.7,,,42.0,21.0,
"Jalasouda, Khammam ",2020-04-01,20.0,,,,6.0,,,80.0,20.0,
"Kothur, Mahaboobnagar",2020-04-01,31.5,,,,6.5,,,70.0,25.0,
"Balanagar , CITD office ",2020-05-01,37.1,28.0,,,4.6,,,87.0,25.0,
"Uppal, Modern food Industry, IDA",2020-05-01,40.9,34.0,,,4.6,,,74.0,30.0,
"Jubilee Hills, Police station",2020-05-01,33.6,15.0,,,2.0,,,72.0,23.0,
"Paradise, HMWS &SB Pump house ",2020-05-01,39.9,,,,2.0,,,62.0,21.0,
"Charminar, TSRTC bus station ",2020-05-01,36.8,18.0,,,2.0,,,65.0,20.0,
"Jeedimetla, Industrial Association Building",2020-05-01,44.9,39.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-05-01,28.0,,,,2.0,,,,,
"MGBS, Bus stand ",2020-05-01,,,,,,,,,,
"Chikkadapally, Lepakshi Emporium ",2020-05-01,23.9,,,,2.0,,,52.0,,
"Langar House, Police Station ",2020-05-01,27.5,,,,2.0,,,61.0,,
"Madhapur, Shilpa Kalavedika ",2020-05-01,31.1,,,,4.5,,,89.0,,
"Shameerpet, MRO office",2020-05-01,,,,,,,,,,
"Kukatpally, JNTU",2020-05-01,40.0,,,,2.0,,,64.0,10.0,
"Sainikpuri,  MRO office ",2020-05-01,22.5,,,,2.0,,,74.0,,
"Rajendranaga, NG Rang Agricultural University ",2020-05-01,20.0,,,,,,,44.0,,
"Nacharam, Police station ",2020-05-01,31.0,,,,2.0,,,50.0,,
"Abids, Police station ",2020-05-01,27.5,,,,2.0,,,63.0,,
"KBRN Park, DFO office ",2020-05-01,25.9,,,,2.0,,,58.0,,
HCU,2020-05-01,27.578955806451617,21.774193548387096,,3.0125297419354835,6.222580645161291,,41.42485677419354,73.96774193548387,9.556978032258066,0.3384787419354839
Sanathnagar,2020-05-01,23.11665677419355,33.03225806451613,,1.0151823032258067,3.543333333333333,,46.025806451612894,,,0.4741935483870967
Zoopark,2020-05-01,51.50383,51.36363636363637,,0.7734697741935485,3.4978042580645163,,19.696774193548386,90.5,10.096681838709676,0.5841935483870967
Pashamylaram,2020-05-01,46.00498193548388,29.967741935483872,,4.010018741935484,5.930778466666667,,33.95707032258065,87.06451612903226,3.830756856666667,0.5257338612903227
"Bollaram, CAAQMS",2020-05-01,20.66170516129032,30.225806451612904,,,12.04193548387097,,,85.90322580645162,31.68685935483872,
ICRISAT,2020-05-01,11.146807096774198,27.766666666666666,,0.3538251014193548,7.002235258064515,,21.09911387096773,76.48387096774194,10.375638741935482,0.4479760129032257
"R.C.Puram, Medak",2020-05-01,18.8,,,,2.0,,,59.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-05-01,25.3,,,,7.5,,,122.0,,
"Sangareddy, Medak",2020-05-01,18.1,,,,2.0,,,53.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-05-01,24.5,,,,7.0,,,89.0,,
"Gaddapotharam, Medak",2020-05-01,20.3,,,,2.0,,,63.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-05-01,19.4,,,,2.0,,,32.0,10.0,
"Choutuppal, Nalgonda",2020-05-01,19.7,,,,2.0,,,36.0,10.0,
"Subhasnagar,  Nizamabad",2020-05-01,,30.0,,,,,,,,
" Mandamarri, Adilabad",2020-05-01,,,,,,,,,,
"KUDA, Warangal ",2020-05-01,33.5,,,,5.9,,,29.0,,
" Mee-Seva, Warangal ",2020-05-01,39.3,,,,6.8,,,58.0,30.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-05-01,23.9,,,,4.5,,,47.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-05-01,27.4,,,,6.5,,,94.0,,
"Godavarikhani, Karimnagar",2020-05-01,44.9,,,,7.1,,,91.0,37.0,
" DIC building, Karimnagar",2020-05-01,45.2,,,,7.8,,,72.0,33.0,
"CER Club, Kothagudem",2020-05-01,42.3,,,,7.3,,,72.0,33.0,
"Jalasouda, Khammam ",2020-05-01,47.1,,,,6.5,,,54.0,35.0,
"Kothur, Mahaboobnagar",2020-05-01,50.7,,,,9.1,,,95.0,39.0,
"Balanagar , CITD office ",2020-06-01,44.5,25.0,,,2.0,,,63.0,10.0,
"Uppal, Modern food Industry, IDA",2020-06-01,44.6,20.0,,,4.3,,,50.0,37.0,
"Jubilee Hills, Police station",2020-06-01,39.8,19.0,,,2.0,,,48.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-06-01,44.1,,,,4.2,,,56.0,10.0,
"Charminar, TSRTC bus station ",2020-06-01,37.9,,,,2.0,,,57.0,10.0,
"Jeedimetla, Industrial Association Building",2020-06-01,50.4,20.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-06-01,18.9,,,,4.2,,,,26.0,
"MGBS, Bus stand ",2020-06-01,,,,,,,,,,
"Chikkadapally, Lepakshi Emporium ",2020-06-01,21.9,,,,2.0,,,41.0,20.0,
"Langar House, Police Station ",2020-06-01,32.1,,,,4.5,,,46.0,21.0,
"Madhapur, Shilpa Kalavedika ",2020-06-01,14.8,,,,2.0,,,43.0,10.0,
"Shameerpet, MRO office",2020-06-01,,,,,,,,,,
"Kukatpally, JNTU",2020-06-01,42.5,,,,2.0,,,49.0,10.0,
"Sainikpuri,  MRO office ",2020-06-01,15.3,,,,2.0,,,45.0,10.0,
"Rajendranaga, NG Rang Agricultural University ",2020-06-01,4.5,,,,,,,31.0,10.0,
"Nacharam, Police station ",2020-06-01,22.8,,,,4.0,,,48.0,10.0,
"Abids, Police station ",2020-06-01,29.9,,,,2.0,,,51.0,10.0,
"KBRN Park, DFO office ",2020-06-01,17.1,,,,2.0,,,38.0,10.0,
HCU,2020-06-01,24.88649533333334,19.821428571428573,,1.0335133100000002,4.533333333333332,,25.57666666666666,42.9310344827586,9.336288433333332,0.251666666666667
Sanathnagar,2020-06-01,21.355367666666663,19.03333333333333,,0.57755157,7.923333333333334,,23.18333333333333,,,0.4
Zoopark,2020-06-01,33.06894428571428,20.642857142857142,,0.740722842857143,3.592857142857143,,20.94642857142857,57.0,9.717011821428573,0.2682142857142858
Pashamylaram,2020-06-01,46.75608620689656,14.241379310344827,,1.7368342655172415,5.444827586206895,,8.89655172413793,42.06896551724138,4.521875999999999,0.4067857142857144
"Bollaram, CAAQMS",2020-06-01,19.397567620689657,22.379310344827587,,,12.041379310344826,,,62.89655172413793,37.12694448275861,
ICRISAT,2020-06-01,6.875944551724138,15.03448275862069,,0.216471254,4.906896551724139,,17.486206896551725,32.724137931034484,9.08523555172414,0.3141379310344827
"R.C.Puram, Medak",2020-06-01,23.5,,,,4.7,,,72.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-06-01,31.4,,,,9.4,,,133.0,,
"Sangareddy, Medak",2020-06-01,23.4,,,,4.4,,,60.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-06-01,26.8,,,,7.3,,,77.0,,
"Gaddapotharam, Medak",2020-06-01,23.3,,,,4.6,,,74.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-06-01,23.9,,,,4.5,,,52.0,10.0,
"Choutuppal, Nalgonda",2020-06-01,24.3,,,,4.8,,,55.0,10.0,
"Subhasnagar,  Nizamabad",2020-06-01,24.1,36.0,,,4.9,,,52.0,10.0,
" Mandamarri, Adilabad",2020-06-01,24.2,,,,4.7,,,75.0,10.0,
"KUDA, Warangal ",2020-06-01,31.4,,,,6.8,,,33.0,,
" Mee-Seva, Warangal ",2020-06-01,32.2,,,,7.1,,,56.0,34.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-06-01,26.025,,,,4.7,,,45.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-06-01,35.525,,,,6.525,,,100.0,,
"Godavarikhani, Karimnagar",2020-06-01,36.4,,,,7.5,,,73.0,49.0,
" DIC building, Karimnagar",2020-06-01,37.1,,,,8.4,,,55.0,36.0,
"CER Club, Kothagudem",2020-06-01,39.9,,,,8.0,,,80.0,43.0,
"Jalasouda, Khammam ",2020-06-01,37.2,,,,8.3,,,43.0,45.0,
"Kothur, Mahaboobnagar",2020-06-01,37.1,,,,8.9,,,77.0,49.0,
"Balanagar , CITD office ",2020-07-01,49.7,18.0,,,2.0,,,67.0,21.0,
"Uppal, Modern food Industry, IDA",2020-07-01,41.2,23.0,,,2.0,,,69.0,41.0,
"Jubilee Hills, Police station",2020-07-01,45.4,21.0,,,2.0,,,71.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-07-01,52.0,,,,2.0,,,64.0,10.0,
"Charminar, TSRTC bus station ",2020-07-01,36.5,,,,2.0,,,67.0,10.0,
"Jeedimetla, Industrial Association Building",2020-07-01,44.3,26.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-07-01,19.0,,,,4.4,,,,21.0,
"MGBS, Bus stand ",2020-07-01,,,,,,,,,,
"Chikkadapally, Lepakshi Emporium ",2020-07-01,16.9,,,,5.0,,,40.0,10.0,
"Langar House, Police Station ",2020-07-01,25.3,,,,5.7,,,47.0,10.0,
"Madhapur, Shilpa Kalavedika ",2020-07-01,19.4,,,,4.4,,,36.0,10.0,
"Shameerpet, MRO office",2020-07-01,,,,,,,,,,
"Kukatpally, JNTU",2020-07-01,42.9,,,,2.0,,,44.0,10.0,
"Sainikpuri,  MRO office ",2020-07-01,14.7,,,,2.0,,,40.0,10.0,
"Rajendranaga, NG Rang Agricultural University ",2020-07-01,11.2,,,,,,,26.0,10.0,
"Nacharam, Police station ",2020-07-01,20.7,,,,5.8,,,49.0,10.0,
"Abids, Police station ",2020-07-01,27.3,,,,5.0,,,49.0,10.0,
"KBRN Park, DFO office ",2020-07-01,12.0,,,,2.0,,,21.0,10.0,
HCU,2020-07-01,24.82100870967742,15.774193548387096,,0.941594287096774,4.293548387096774,,28.72903225806452,32.51724137931034,8.209142,0.2503225806451613
Sanathnagar,2020-07-01,20.49359,16.96551724137931,,0.8554157966666665,8.236666666666668,,13.943333333333332,,,0.4326666666666666
Zoopark,2020-07-01,29.04260935483872,17.774193548387096,,0.6668942870967741,3.461290322580646,,18.167741935483875,,7.055326548387097,0.2574193548387097
Pashamylaram,2020-07-01,39.00660129032257,9.806451612903226,,1.8235517774193548,5.412903225806452,,2.0354838709677416,29.0,5.466105586206898,0.3951612903225805
"Bollaram, CAAQMS",2020-07-01,21.29810151612903,17.548387096774192,,,9.97741935483871,,,40.903225806451616,22.69583451612904,
ICRISAT,2020-07-01,5.597623419354838,11.258064516129032,,0.34172964,4.458064516129032,,21.11290322580646,22.096774193548388,7.567683193548389,0.3212903225806451
"R.C.Puram, Medak",2020-07-01,24.3,,,,5.0,,,70.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-07-01,28.0,,,,7.8,,,129.0,,
"Sangareddy, Medak",2020-07-01,23.6,,,,4.2,,,61.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-07-01,26.0,,,,7.0,,,81.0,,
"Gaddapotharam, Medak",2020-07-01,24.7,,,,4.7,,,77.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-07-01,24.3,,,,4.6,,,54.0,10.0,
"Choutuppal, Nalgonda",2020-07-01,24.9,,,,5.1,,,58.0,10.0,
"Subhasnagar,  Nizamabad",2020-07-01,25.8,29.0,,,5.2,,,63.0,10.0,
" Mandamarri, Adilabad",2020-07-01,24.0,,,,5.5,,,74.0,10.0,
"KUDA, Warangal ",2020-07-01,44.3,,,,8.9,,,23.0,,
" Mee-Seva, Warangal ",2020-07-01,44.9,,,,8.6,,,48.0,31.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-07-01,26.0,,,,4.5,,,29.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-07-01,39.0,,,,6.5,,,69.0,,
"Godavarikhani, Karimnagar",2020-07-01,46.2,,,,8.8,,,38.0,38.0,
" DIC building, Karimnagar",2020-07-01,48.1,,,,9.0,,,124.0,34.0,
"CER Club, Kothagudem",2020-07-01,43.3,,,,7.9,,,38.0,35.0,
"Jalasouda, Khammam ",2020-07-01,45.1,,,,7.9,,,43.0,37.0,
"Kothur, Mahaboobnagar",2020-07-01,41.5,,,,8.6,,,143.0,33.0,
"Balanagar , CITD office ",2020-08-01,41.8,27.0,,,2.0,,,96.0,21.0,
"Uppal, Modern food Industry, IDA",2020-08-01,38.2,,,,4.1,,,81.0,32.0,
"Jubilee Hills, Police station",2020-08-01,34.7,21.0,,,2.0,,,76.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-08-01,40.0,,,,2.0,,,89.0,10.0,
"Charminar, TSRTC bus station ",2020-08-01,31.7,,,,2.0,,,78.0,10.0,
"Jeedimetla, Industrial Association Building",2020-08-01,44.1,,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-08-01,20.5,,,,4.7,,,,10.0,
"MGBS, Bus stand ",2020-08-01,,,,,,,,,,
"Chikkadapally, Lepakshi Emporium ",2020-08-01,21.4,,,,5.1,,,61.0,10.0,
"Langar House, Police Station ",2020-08-01,23.6,,,,4.8,,,75.0,10.0,
"Madhapur, Shilpa Kalavedika ",2020-08-01,17.6,,,,4.1,,,37.0,10.0,
"Shameerpet, MRO office",2020-08-01,,,,,,,,,,
"Kukatpally, JNTU",2020-08-01,38.8,,,,2.0,,,71.0,10.0,
"Sainikpuri,  MRO office ",2020-08-01,16.3,,,,4.0,,,48.0,10.0,
"Rajendranaga, NG Rang Agricultural University ",2020-08-01,12.8,,,,,,,41.0,10.0,
"Nacharam, Police station ",2020-08-01,22.4,,,,2.0,,,60.0,10.0,
"Abids, Police station ",2020-08-01,22.8,,,,4.3,,,49.0,10.0,
"KBRN Park, DFO office ",2020-08-01,15.3,,,,4.2,,,40.0,10.0,
HCU,2020-08-01,18.597205,15.846153846153848,,0.6741569,4.86923076923077,,19.63076923076923,30.692307692307693,10.04648103846154,0.188076923076923
Sanathnagar,2020-08-01,16.804446741935486,14.548387096774194,,0.4512440193548388,6.358064516129032,,11.861290322580649,,,0.3896774193548388
Zoopark,2020-08-01,33.3783064516129,16.70967741935484,,0.4064020870967742,4.419354838709677,,14.09032258064516,30.846153846153847,8.49726841935484,0.2470967741935484
Pashamylaram,2020-08-01,35.83558806451613,9.838709677419354,,3.8840484064516136,5.270967741935484,,2.161290322580645,26.483870967741936,6.301140354838711,0.4419999999999999
"Bollaram, CAAQMS",2020-08-01,22.009896551724143,16.82758620689655,,,13.420689655172412,,,38.172413793103445,27.882557586206897,
ICRISAT,2020-08-01,4.641779677419354,9.866666666666667,,0.145317957516129,3.0064516129032253,,18.06129032258064,21.5,10.18544135483871,0.299032258064516
"R.C.Puram, Medak",2020-08-01,24.0,,,,5.0,,,69.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-08-01,27.1,,,,6.6,,,113.0,,
"Sangareddy, Medak",2020-08-01,24.1,,,,4.8,,,54.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-08-01,24.3,,,,6.5,,,63.0,,
"Gaddapotharam, Medak",2020-08-01,25.1,,,,4.8,,,72.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-08-01,22.8,,,,4.6,,,52.0,10.0,
"Choutuppal, Nalgonda",2020-08-01,22.0,,,,4.7,,,53.0,10.0,
"Subhasnagar,  Nizamabad",2020-08-01,22.2,27.0,,,4.7,,,60.0,10.0,
" Mandamarri, Adilabad",2020-08-01,21.5,,,,4.6,,,72.0,10.0,
"KUDA, Warangal ",2020-08-01,45.0,,,,8.0,,,67.0,,
" Mee-Seva, Warangal ",2020-08-01,45.0,,,,7.0,,,49.0,33.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-08-01,31.9,,,,5.5,,,50.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-08-01,32.1,,,,4.6,,,23.0,,
"Godavarikhani, Karimnagar",2020-08-01,37.0,,,,8.0,,,49.0,38.0,
" DIC building, Karimnagar",2020-08-01,43.0,,,,8.0,,,70.0,37.0,
"CER Club, Kothagudem",2020-08-01,26.0,,,,8.0,,,35.0,34.0,
"Jalasouda, Khammam ",2020-08-01,26.0,,,,8.0,,,33.0,33.0,
"Kothur, Mahaboobnagar",2020-08-01,53.0,,,,8.0,,,91.0,54.0,
"Balanagar , CITD office ",2020-09-01,41.4,,,,4.3,,,90.0,10.0,
"Uppal, Modern food Industry, IDA",2020-09-01,40.4,30.0,,,4.7,,,94.0,44.0,
"Jubilee Hills, Police station",2020-09-01,35.7,,,,2.0,,,83.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-09-01,42.3,,,,4.3,,,83.0,10.0,
"Charminar, TSRTC bus station ",2020-09-01,35.7,16.0,,,4.3,,,74.0,10.0,
"Jeedimetla, Industrial Association Building",2020-09-01,41.1,24.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-09-01,20.2,,,,5.0,,,,20.0,
"MGBS, Bus stand ",2020-09-01,18.7,,,,4.4,,,63.0,10.0,
"Chikkadapally, Lepakshi Emporium ",2020-09-01,20.4,,,,5.4,,,62.0,10.0,
"Langar House, Police Station ",2020-09-01,31.2,,,,5.3,,,56.0,10.0,
"Madhapur, Shilpa Kalavedika ",2020-09-01,16.7,,,,4.9,,,56.0,10.0,
"Shameerpet, MRO office",2020-09-01,,,,,,,,,,
"Kukatpally, JNTU",2020-09-01,38.6,,,,2.0,,,77.0,10.0,
"Sainikpuri,  MRO office ",2020-09-01,12.9,,,,4.5,,,46.0,10.0,
"Rajendranaga, NG Rang Agricultural University ",2020-09-01,16.6,,,,,,,39.0,10.0,
"Nacharam, Police station ",2020-09-01,23.5,,,,5.6,,,59.0,21.0,
"Abids, Police station ",2020-09-01,29.8,,,,4.8,,,49.0,10.0,
"KBRN Park, DFO office ",2020-09-01,17.3,,,,4.4,,,41.0,10.0,
HCU,2020-09-01,22.646165333333336,22.933333333333334,,1.543389516666667,4.779999999999999,,35.523333333333326,41.766666666666666,7.577048066666666,0.2463333333333333
Sanathnagar,2020-09-01,21.636081333333333,21.6,,0.2677463303333333,3.036666666666667,,18.03333333333334,,,0.429
Zoopark,2020-09-01,40.56371033333334,23.83333333333333,,0.4700588819999999,4.1066666666666665,,13.54,47.46666666666667,7.615170899999999,0.2276666666666666
Pashamylaram,2020-09-01,35.727016,20.366666666666667,,5.407676299999999,5.623333333333334,,3.931034482758621,51.86666666666667,6.2669011,0.4059999999999999
"Bollaram, CAAQMS",2020-09-01,21.377925333333334,22.83333333333333,,,22.53666666666667,,,52.53333333333333,31.74227906666668,
ICRISAT,2020-09-01,7.331519766666667,16.5,,0.4409954246,3.266666666666667,,23.41333333333333,31.96153846153846,7.270076200000001,0.3613333333333333
"R.C.Puram, Medak",2020-09-01,24.6,,,,5.1,,,57.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-09-01,28.1,,,,7.1,,,79.0,,
"Sangareddy, Medak",2020-09-01,24.2,,,,5.3,,,49.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-09-01,25.7,,,,7.7,,,74.0,,
"Gaddapotharam, Medak",2020-09-01,25.2,,,,5.6,,,64.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-09-01,23.3,,,,4.9,,,50.0,10.0,
"Choutuppal, Nalgonda",2020-09-01,23.3,,,,5.3,,,60.0,10.0,
"Subhasnagar,  Nizamabad",2020-09-01,24.8,33.0,,,5.4,,,60.0,10.0,
" Mandamarri, Adilabad",2020-09-01,23.7,,,,5.3,,,72.0,10.0,
"KUDA, Warangal ",2020-09-01,38.9,,,,6.3,,,30.0,,
" Mee-Seva, Warangal ",2020-09-01,40.7,,,,7.2,,,39.0,31.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-09-01,32.0,,,,5.7,,,15.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-09-01,24.7,,,,6.9,,,52.0,,
"Godavarikhani, Karimnagar",2020-09-01,37.5,,,,7.0,,,44.0,40.0,
" DIC building, Karimnagar",2020-09-01,43.3,,,,7.7,,,99.0,38.0,
"CER Club, Kothagudem",2020-09-01,36.4,,,,6.7,,,41.0,41.0,
"Jalasouda, Khammam ",2020-09-01,38.6,,,,7.1,,,37.0,40.0,
"Kothur, Mahaboobnagar",2020-09-01,,,,,,,,,,
"Balanagar , CITD office ",2020-10-01,35.5,,,,2.0,,,102.0,10.0,
"Uppal, Modern food Industry, IDA",2020-10-01,31.8,24.0,,,2.0,,,94.0,25.0,
"Jubilee Hills, Police station",2020-10-01,31.0,,,,2.0,,,83.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-10-01,34.7,,,,4.0,,,92.0,10.0,
"Charminar, TSRTC bus station ",2020-10-01,33.2,16.0,,,2.0,,,103.0,10.0,
"Jeedimetla, Industrial Association Building",2020-10-01,35.9,22.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-10-01,21.0,,,,4.7,,,,10.0,
"MGBS, Bus stand ",2020-10-01,22.6,,,,4.5,,,66.0,10.0,
"Chikkadapally, Lepakshi Emporium ",2020-10-01,20.3,,,,4.4,,,74.0,10.0,
"Langar House, Police Station ",2020-10-01,19.8,,,,4.4,,,68.0,10.0,
"Madhapur, Shilpa Kalavedika ",2020-10-01,22.0,,,,5.7,,,75.0,10.0,
"Shameerpet, MRO office",2020-10-01,,,,,,,,,,
"Kukatpally, JNTU",2020-10-01,32.0,,,,4.0,,,88.0,10.0,
"Sainikpuri,  MRO office ",2020-10-01,15.6,,,,3.8,,,45.0,10.0,
"Rajendranaga, NG Rang Agricultural University ",2020-10-01,16.8,,,,,,,62.0,10.0,
"Nacharam, Police station ",2020-10-01,20.7,,,,5.1,,,69.0,10.0,
"Abids, Police station ",2020-10-01,22.5,,,,4.7,,,60.0,10.0,
"KBRN Park, DFO office ",2020-10-01,17.8,,,,4.2,,,47.0,10.0,
HCU,2020-10-01,33.82452580645161,47.61290322580645,,3.074050322580646,3.1935483870967745,,31.248275862068976,90.51612903225806,8.368210032258066,0.503225806451613
Sanathnagar,2020-10-01,41.78999032258064,53.74193548387097,,0.681845329032258,7.906451612903226,,29.851612903225806,,,0.6470967741935484
Zoopark,2020-10-01,49.53165516129031,63.29032258064516,,0.7793029764516128,4.161290322580644,,13.63548387096774,112.4516129032258,9.315695193548386,0.2287096774193548
Pashamylaram,2020-10-01,52.40778103448277,54.63333333333333,,1.2133208889655167,6.410000000000001,,15.183333333333335,124.5,4.418120413793104,0.6890000000000002
"Bollaram, CAAQMS",2020-10-01,26.61848580645161,56.67741935483871,,,24.29677419354839,,,116.4516129032258,32.540139999999994,
ICRISAT,2020-10-01,15.329844290322578,51.37931034482759,,0.9552044451612904,8.016129032258062,,29.08709677419355,95.74193548387096,11.225478419354836,0.5341935483870968
"R.C.Puram, Medak",2020-10-01,24.2,,,,5.5,,,70.0,10.0,
"Bollaram, Sangareddy (SAAQM)",2020-10-01,28.5,,,,7.7,,,84.0,,
"Sangareddy, Medak",2020-10-01,23.5,,,,5.3,,,60.0,10.0,
"PETL, Sangareddy (SAAQM)",2020-10-01,28.0,,,,7.3,,,82.0,,
"Gaddapotharam, Medak",2020-10-01,24.6,,,,5.4,,,66.0,10.0,
"Nalgonda, RO Building, Nalgonda",2020-10-01,23.5,,,,5.1,,,49.0,10.0,
"Choutuppal, Nalgonda",2020-10-01,24.2,,,,5.1,,,56.0,10.0,
"Subhasnagar,  Nizamabad",2020-10-01,24.7,33.0,,,5.2,,,62.0,10.0,
" Mandamarri, Adilabad",2020-10-01,23.8,,,,5.3,,,72.0,10.0,
"KUDA, Warangal ",2020-10-01,36.5,,,,6.9,,,54.0,,
" Mee-Seva, Warangal ",2020-10-01,38.1,,,,7.2,,,54.0,33.0,
"Balasamudram, Hanmakonda (SAAQM)",2020-10-01,20.0,,,,3.6,,,38.0,,
"Nakkalagutta, Hanmakonda (SAAQM)",2020-10-01,29.0,,,,4.0,,,39.0,,
"Godavarikhani, Karimnagar",2020-10-01,42.6,,,,7.2,,,41.0,46.0,
" DIC building, Karimnagar",2020-10-01,38.9,,,,7.8,,,156.0,38.0,
"CER Club, Kothagudem",2020-10-01,39.8,,,,8.2,,,70.0,40.0,
"Jalasouda, Khammam ",2020-10-01,39.9,,,,7.4,,,49.0,40.0,
"Kothur, Mahaboobnagar",2020-10-01,43.6,,,,7.3,,,83.0,35.0,
"Balanagar , CITD office ",2020-11-01,37.6,,,,5.2,,,152.0,10.0,
"Uppal, Modern food Industry, IDA",2020-11-01,41.6,25.0,,,5.3,,,138.0,30.0,
"Jubilee Hills, Police station",2020-11-01,35.3,28.0,,,4.1,,,86.0,10.0,
"Paradise, HMWS &SB Pump house ",2020-11-01,40.9,,,,5.2,,,91.0,10.0,
"Charminar, TSRTC bus station ",2020-11-01,40.1,25.0,,,4.7,,,101.0,10.0,
"Jeedimetla, Industrial Association Building",2020-11-01,42.4,28.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2020-11-01,24.0,,,,5.5,,,,10.0,
"MGBS, Bus stand ",2020-11-01,32.8,,,,6.6,,,67.0,10.0,
