Location,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,lat,lon
Kukatpally,143.55555555555554,130.88888888888889,126.77777777777776,120.11111111111111,111.0,99.77777777777776,82.96296296296298,78.44444444444443,96.92592592592592,125.22222222222224,123.11111111111111,126.22222222222224,17.48735000000005,78.42087000000004
Nacharam,114.52941176470588,105.72222222222224,123.06666666666666,113.26315789473684,113.82608695652172,107.4,88.32,83.66666666666667,90.3,101.125,90.5,98.01176470588234,17.431250000000034,78.55922000000004
Rajedranagar,60.70588235294117,55.95,59.70588235294117,55.0,60.285714285714285,48.31578947368421,45.75,63.94736842105263,72.22222222222223,86.47058823529412,72.77777777777777,93.42857142857144,17.392040000000065,78.54012000000006
Sainikpuri,90.25,84.625,68.0,68.9,74.27272727272727,74.1,67.0,70.77777777777777,77.55555555555556,53.6,99.29166666666666,90.05000000000001,17.491630000000043,78.54544000000004
BPPA,87.6842105263158,78.21052631578948,86.13333333333334,61.523809523809526,73.61904761904762,67.32631578947368,53.04347826086956,59.833333333333336,75.26315789473684,77.41176470588235,74.22222222222223,89.86875,17.802515696000057,79.01075984700003
Shameerpet,62.63636363636363,74.77777777777777,65.6,65.44444444444444,57.18181818181818,54.77777777777778,69.3,68.2,70.0,71.1,83.14285714285714,73.375,17.582170000000076,78.56126000000006
HCU,146.09677419354838,105.71428571428572,106.93548387096774,93.1,93.38709677419357,56.46666666666667,41.6,41.0,72.5,110.87096774193547,111.83333333333331,129.06666666666666,17.802515696000057,79.01075984700003
Sanathnagar,228.53571428571428,124.57142857142856,121.58064516129032,83.1666666666667,68.87096774193549,45.2,32.903225806451616,33.0,60.06666666666667,86.48387096774194,163.36666666666667,202.1034482758621,17.45876000000004,78.44310000000007
Zoopark,217.4193548387097,122.5,115.2258064516129,96.56666666666666,89.0,50.03333333333333,44.16666666666666,48.0,94.0,156.8709677419355,164.73333333333332,216.4516129032258,16.777300000000025,78.01248000000004
Pashamylaram,171.0,105.0,105.0,84.62962962962963,86.4,68.23333333333333,79.64516129032258,100.0,99.79310344827586,131.4193548387097,155.53333333333333,173.06451612903226,17.56176000000005,78.17238000000003
Bollaram,156.0,118.0,129.0,109.41379310344828,106.93333333333334,79.56666666666666,65.61290322580645,75.0,93.03333333333332,126.96774193548389,110.53333333333332,135.86206896551724,18.168900000000065,78.08390000000009
ICRISAT,152.0,110.0,109.0,88.5,90.86666666666666,54.4,43.12903225806452,45.0,74.76666666666667,120.74193548387096,137.7,150.5806451612903,17.516590000000065,78.27499000000006
R C Puram,78,98.0,94.77777777777776,95.44444444444444,97.11111111111111,65.33333333333333,54.87037037037037,41.0,52.81481481481481,80.85185185185185,88.51851851851852,96.0,17.802515696000057,79.01075984700003
Gaddapotharam,100.66666666666667,99.0,96.53703703703704,96.55555555555556,94.29629629629628,76.25925925925925,57.22222222222222,52.0,51.59259259259259,77.62962962962962,88.33333333333333,95.0,17.657340000000033,78.37400000000008
Sangareddy,68.33333333333333,85.88888888888889,80.55555555555556,80.11111111111111,74.44444444444444,62.66666666666666,49.44444444444444,50.0,57.44444444444444,65.44444444444444,64.0,76.0,17.62516000000005,78.08237000000008
Nalgonda,68.33333333333333,67.44444444444444,73.11111111111111,69.44444444444444,79.55555555555556,59.0,58.333333333333336,54.0,56.62962962962963,55.66666666666666,63.0,54.0,17.057120000000054,79.26848000000007
Choutuppal,62.333333333333336,58.77777777777778,68.14814814814815,62.888888888888886,66.07407407407408,61.96296296296296,59.77083333333333,58.0,60.70370370370371,60.37037037037037,66.33333333333333,61.0,17.252710000000036,78.89614000000006
Nizamabad,60.666666666666664,60.55555555555556,66.1111111111111,69.77777777777777,54.0,64.18518518518518,58.55555555555556,60.0,64.22222222222223,48.11111111111112,59.81481481481481,62.0,18.67154000000005,78.09880000000004
Adilabad,66.11111111111111,67.0,70.33333333333333,73.51851851851853,74.11111111111111,68.66666666666669,63.77777777777778,64.0,61.55555555555556,67.11111111111111,74.77777777777777,81.0,19.672030000000063,78.53590000000008
Boallaram,-,153.0,129.66666666666666,139.0,119.875,113.375,115.0,147.66666666666666,137.0,116.75,121.0,125.75,18.168900000000065,78.08390000000009
PETL,62,96.5,91.2,87.0,95.2,87.5,84.75,93.6,90.0,101.66666666666669,94.0,85.0,17.802515696000057,79.01075984700003
"Kuda, warangal",116.55555555555556,91.0,79.96350374721057,81.64262618627691,84.22181139592317,85.55549122531909,72.83081152454756,78.63888888888889,80.74768273226769,85.71369782480895,95.66666666666669,86.0,17.984050000000025,79.60204000000004
"Mee-Seva, Warangal",94.11111111111111,96.44444444444444,79.22222222222223,82.66666666666667,81.11111111111111,83.88888888888889,69.5,72.83333333333333,80.06598590421277,89.28150870009199,94.22222222222224,88.0,17.989810000000034,79.59950000000003
Godavarikhani,135.88888888888889,111.88888888888889,104.66666666666669,97.66666666666669,99.66666666666669,102.0,89.14285714285714,91.57142857142856,94.385609974994,97.44444444444444,104.33333333333331,100.0,18.75626000000005,79.50920000000008
Karimnagar,111.44444444444444,87.22222222222223,88.6666666666667,99.55555555555556,99.77777777777776,99.88888888888889,88.85714285714286,90.85714285714286,99.66666666666669,97.77777777777776,106.44444444444444,100.0,18.43915000000004,79.12856000000005
Kothagudem,66.77777777777777,64.44444444444444,70.8549128758068,80.66666666666667,81.11111111111111,85.375,80.75,85.0,86.21953670744085,92.11167259348169,105.22222222222224,98.22222222222224,17.543300000000045,80.61900000000009
Khammam,64,67.88888888888889,71.47012600261209,77.09990148979588,77.03220216827941,82.81968802790495,74.85694540613896,78.85714285714286,84.14814814814815,84.69765305016413,91.77777777777776,88.0,17.251630000000034,80.15729000000005
Kothur,107.55555555555556,89.66666666666667,107.66666666666669,106.66666666666669,104.66666666666669,106.77777777777776,95.57142857142856,92.71428571428572,100.22222222222224,101.77777777777776,114.0,107.0,17.147830000000056,78.28888000000006
Balasamudram,108,80.5,85.51587301587307,88.0,78.14849624060153,75.8615288220553,80.0,68.0,84.0,87.76041666666706,89.20138888888901,93.0,18.00099000000006,79.56018000000006
Nakkalagutta,106,86.75,89.53373015873031,92.0,85.4136904761906,83.44198790627352,85.0,75.25,86.0,97.78769841269838,96.82738095238066,94.0,18.000687574596203,79.55572875403895
